N_PMUT,Frequency_Hz,Frequency_MHz,Amplitude_R_mean,Amplitude_R_std,Phase_deg_mean,Phase_deg_std,V,PMUTSweep,DetectionN,w_rad_s,phase_rad,X_val,Y_val
1,113755.806524587,0.113755806524587,0.6986023333333332,3.513308032802688e-05,0.0200684,4.856953777832594e-06,-0.005569543333333334,1,0,714748.8121616488,0.00035025965560723,0.6986022904804285,0.00024469220767652606
1,114122.9300090529,0.1141229300090529,0.6986236666666666,2.9022979401373615e-05,0.0199901,3.7242448899073734e-06,-0.005915416666666666,1,0,717055.5170451654,0.0003488930628029185,0.6986236241462058,0.00024374494586490723
1,114491.2383084318,0.1144912383084318,0.6986383333333333,2.7501515109833165e-05,0.019914833333333333,2.948445918333644e-06,-0.005671269999999999,1,0,719369.6663403353,0.0003475794116525841,0.6986382911315795,0.00024283229596845494
1,114860.7352478237,0.1148607352478237,0.698649,2.5865034312748264e-05,0.0198393,4.309292285283381e-06,-0.005732303333333333,1,0,721691.2840809703,0.000346261106290911,0.6986489581171268,0.000241914970814902
1,115231.4246620278,0.11523142466202779,0.6986586666666668,2.1385353243178926e-05,0.019764266666666665,3.9551653989854524e-06,-0.005711956666666667,1,0,724020.3943618245,0.0003449515275754979,0.6986586250994261,0.0002410033695409662
1,115603.3104007648,0.11560331040076481,0.698677,2.5238858928257767e-05,0.019689866666666667,3.4004901607470566e-06,-0.0057882566666666675,1,0,726357.0213714065,0.00034365300261201415,0.6986769587440367,0.0002401024441800423
1,115976.3963242,0.11597639632420001,0.6986863333333333,1.9731531449275346e-05,0.019613000000000002,3.973663297260142e-06,-0.005767906666666667,1,0,728701.18936385,0.0003423114261936479,0.6986862923983101,0.00023916831055450174
1,116350.6863051822,0.1163506863051822,0.6986936666666667,2.6102362600660528e-05,0.0195376,1.216552506060832e-06,-0.005818773333333333,1,0,731052.9226729819,0.0003409954479376441,0.6986936260453525,0.0002382513552189672
1,116726.1842307354,0.1167261842307354,0.698706,2.9816103031676707e-05,0.01946173333333333,3.6473734842113965e-06,-0.005823856666666666,1,0,733412.2457216942,0.00033967132481179773,0.698705959692836,0.00023733038811022268
1,117102.8939983287,0.1171028939983287,0.6987213333333333,2.514623895003408e-05,0.019388633333333335,2.514623895006802e-06,-0.005722136666666666,1,0,735779.1829985074,0.00033839548912858997,0.6987212933275172,0.00023644414284531797
1,117480.8195196064,0.1174808195196064,0.6987369999999999,2.463736998953617e-05,0.0193125,2.961418578991042e-06,-0.005717046666666666,1,0,738153.7590810077,0.0003370667117914049,0.6987369603068587,0.00023552097853724531
1,117859.9647174039,0.1178599647174039,0.69875,1.833030277984169e-05,0.019237133333333333,3.0005555041241395e-06,-0.005742476666666667,1,0,740535.9986170966,0.0003357513153118185,0.6987499606153249,0.00023460622716631432
1,118240.3335287319,0.11824033352873191,0.6987593333333333,1.5011106998932339e-05,0.0191614,2.7622454633867547e-06,-0.005747563333333334,1,0,742925.9263437421,0.00033442951929164145,0.6987592942576275,0.0002336857435911913
1,118621.9299017921,0.1186219299017921,0.6987606666666667,2.8746014216546782e-05,0.019086500000000003,2.685144316420377e-06,-0.005813683333333333,1,0,745323.567068227,0.00033312226768189774,0.698760627895776,0.00023277273354176562
1,119004.7577989617,0.1190047577989617,0.6987676666666666,1.7616280348986378e-05,0.0190115,3.2603680773801195e-06,-0.0056865299999999995,1,0,747728.9456869015,0.000331813270742902,0.6987676281994906,0.00023186038071141266
1,119388.8211945549,0.11938882119455489,0.6987836666666668,1.8339392937974593e-05,0.018935900000000002,3.034798181100001e-06,-0.005727220000000001,1,0,750142.0871711181,0.00033049380182839427,0.6987836285039413,0.00023094366644807064
1,119774.124076315,0.11977412407631499,0.6987929999999999,1.8734993995156154e-05,0.0188618,2.868797657557858e-06,-0.00563058,1,0,752563.0165766071,0.00032920051285266645,0.6987929621348612,0.00023004300982277894
1,120160.6704431768,0.1201606704431768,0.698801,1.7349351572887627e-05,0.018788,1.3747727084871994e-06,-0.005757736666666667,1,0,754991.7590294168,0.00032791245986469464,0.6988009624301591,0.00022914555075936882
1,120548.464308996,0.120548464308996,0.6988063333333333,2.8746014216460046e-05,0.018713733333333333,1.3203534880219857e-06,-0.005661096666666666,1,0,757428.3397493464,0.00032661626200688017,0.6988062960596388,0.00022824150840200229
1,120937.5097003118,0.1209375097003118,0.6988343333333334,2.0984120980679414e-05,0.018639066666666666,1.7214335111581555e-06,-0.005747566666666666,1,0,759872.7840358878,0.0003253130828320577,0.6988342963550035,0.00022733994735570767
1,121327.8106556004,0.1213278106556004,0.698839,2.1931712199414268e-05,0.01856316666666667,3.066485501896e-06,-0.00565601,1,0,762325.1172635353,0.0003239883779297941,0.6988389633219704,0.00022641571008299424
1,121719.3712267672,0.1217193712267672,0.6988513333333334,1.9655363983737116e-05,0.018489166666666668,3.1785741037954793e-06,-0.0059204999999999995,1,0,764785.3648911613,0.00032269683428331824,0.6988512969465045,0.00022551710898737116
1,122112.1954791471,0.1221121954791471,0.6988613333333333,2.1455380055659087e-05,0.01841426666666667,9.451631252498335e-07,-0.00579843,1,0,767253.5524620186,0.00032138958267357453,0.6988612972401985,0.00022460674840004533
1,122506.2874907579,0.1225062874907579,0.6988856666666666,1.9502136635057144e-05,0.018339333333333332,1.0016652800893805e-06,-0.005752650000000001,1,0,769729.7055990483,0.0003200817492874134,0.6988856308654358,0.00022370054291879322
1,122901.6513537928,0.1229016513537928,0.6988853333333332,1.006644591365477e-05,0.0182638,1.9974984355444608e-06,-0.00583912,1,0,772213.850014259,0.00031876344392574036,0.6988852978264176,0.00022277909198975342
1,123298.2911723823,0.12329829117238231,0.6989053333333333,1.361371857111559e-05,0.018188533333333336,1.6772994167197015e-06,-0.005711959999999999,1,0,774706.011494663,0.000317449792775406,0.6989052981174608,0.0002218673495098689
